# Format: TOKEN	LABEL
# Label contoh: B-HAMA, I-HAMA, B-PENYAKIT, I-PENYAKIT, B-TANAMAN, O

Dalam	O
budidaya	O
tanaman	O
padi,	O
maka	O
tidak	O
akan	O
terlepas	O
dari	O
ancaman	O
hama	O
dan	O
penyakit	O
yang	O
sering	O
menyerang	O
tanaman	O
tersebut.	O
Serangan	O
hama	O
dan	O
penyakit	O
apabila	O
dalam	O
pengendaliannya	O
kurang	O
tepat,	O
maka	O
dapat	O
menurunkan	O
produktivitas	O
dari	O
tanaman	O
padi	O
tersebut.	O
Oleh	O
karena	O
itu,	O
diperlukan	O
pengetahuan	O
petani	O
untuk	O
bisa	O
mengenal	O
jenis-jenis	O
hama	O
dan	O
penyakit	O
tanaman	O
padi	O
agar	O
petani	O
mampu	O
mengidentifikasi	O
dan	O
menerapkan	O
pengendalian	O
secara	O
tepat,	O
cepat,	O
dan	O
akurat.	O
Dengan	O
terkendalinya	O
serangan	O
hama	O
dan	O
penyakit,	O
maka	O
tujuan	O
dari	O
kegiatan	O
budidaya	O
akan	O
tercapai.	O
Keong	O
Mas	O
Keong	O
mas	O
merupakan	O
salah	O
satu	O
hama	O
utama	O
tanaman	O
padi.	O
Stadia	O
rentan	O
padi	O
yaitu:	O
persemaian	O
dan	O
padi	O
10	O
HST.	O
Mekanisme	O
merusak:	O
keong	O
memarut	O
jaringan	O
tanaman	O
dan	O
memakannya.	O
Gejala	O
kerusakan:	O
tanaman	O
muda	O
dimakan	O
hingga	O
habis	O
sehingga	O
banyak	O
rumpun	O
hilang,	O
satu	O
batang	O
padi	O
akan	O
habis	O
dimakan	O
seekor	O
keong	O
selama	O
3-5	O
menit.	O
Pengendalian	O
secara	O
kultur	O
teknis	O
dapat	O
dilakukan	O
dengan	O
cara:	O
Pada	O
saat	O
awal	O
tanaman	O
yaitu	O
umur	O
padi	O
0-25	O
hari,	O
lahan	O
sawah	O
perlu	O
dikeringkan	O
dalam	O
keadaan	O
macak-macak	O
hingga	O
keong	O
tidak	O
dapat	O
merayap	O
menuju	O
rumpun	O
padi	O
yang	O
akan	O
diserang.	O
Kalaupun	O
diserang,	O
persentase	O
serangan	O
di	O
bawah	O
ambang	O
kerusakan.	O
Pembuatan	O
parit	O
di	O
sekeliling	O
lahan	O
pertanaman	O
agar	O
keong	O
dapat	O
berkumpul	O
lalu	O
dimusnahkan.	O
Saluran	O
air	O
perlu	O
dibersihkan	O
dari	O
tanaman-tanaman	O
air	O
seperti	O
kangkung	O
dan	O
lainnya	O
agar	O
tidak	O
menjadi	O
makanan	O
cadangan	O
bagi	O
berkembangnya	O
keong	O
mas.	O
Pengendalian	O
secara	O
mekanis	O
dapat	O
dilakukan	O
dengan	O
cara:	O
Induk	O
keong	O
dan	O
kelompok	O
telur	O
yang	O
tampak	O
dilihat	O
semuanya	O
harus	O
diambil	O
dan	O
dikumpulkan	O
untuk	O
dimusnahkan.	O
Pasang	O
saringan	O
dari	O
kawat	O
di	O
pintu	O
air	O
masuk	O
ke	O
lahan	O
sawah	O
sehingga	O
keong	O
dapat	O
terjaring	O
dan	O
tertahan	O
di	O
kawat	O
tersebut.	O
Pasang	O
ajir	O
dari	O
kayu	O
untuk	O
tempat	O
meletakkan	O
kelompok	O
telur	O
keong	O
sehingga	O
mudah	O
diambil	O
dan	O
dibuang.	O
Dalam	O
parit	O
yang	O
dibuat	O
diberi	O
umpan	O
perangkap	O
berupa	O
daun	O
papaya	O
atau	O
kulit	O
pisang	O
sehingga	O
keong	O
tertarik	O
dan	O
berkumpul	O
sehingga	O
