symptom,cause,type,part
Tanaman padi mengalami klorosis pada daun karena serangan wereng batang coklat.,wereng,Pest,daun
Daun menguning dan mengering akibat blas.,blas,Disease,daun
Malai menjadi hampa karena walang sangit ( Leptocorisa spp. ).,walang sangit,Pest,malai
Bercak coklat pada daun menjadi meluas karena penyakit garis coklat.,,,daun
Batang patah karena penggerek batang padi ( Scirpophaga incertulas ).,penggerek,Pest,batang
Daun membusuk akibat hawar daun bakteri.,hawar daun bakteri,Disease,daun
Akar menghitam dan lapuk karena busuk akar.,busuk akar,Disease,akar
Daun terlihat berbercak kuning disebabkan tungro virus.,tungro,Disease,daun
Klorosis pada helai daun dengan bintik coklat karena cercospora.,cercospora,Disease,daun
Daun menggulung dan terlipat oleh hama pelipat daun ( Cnaphalocrocis medinalis ).,hama pelipat daun,Pest,daun
Batang menjadi busuk karena serangan keong mas.,keong mas,Pest,batang
Akar terpotong oleh keong sawah.,,,akar
Daun mengalami nekrosis akibat tungro.,tungro,Disease,daun
Daun menguning kemudian runtuh karena tikus sawah.,tikus,Pest,daun
Malai mengering tanpa bulir karena walang sangit.,walang sangit,Pest,malai
Daun berbercak air akibat blas.,blas,Disease,daun
Daun menghitam di ujung karena hawar daun.,hawar daun,Disease,daun
Daun bergelombang karena wereng batang coklat.,wereng,Pest,daun
Akar terlihat terserang busuk akar.,busuk akar,Disease,akar
Daun melipat pada pagi hari akibat pelipat daun.,,,daun
Daun mengalami klorosis interveinal karena tungro.,tungro,Disease,daun
Batang mengalami beluk akibat penggerek batang.,penggerek,Pest,batang 
Daun berlubang tidak beraturan karena ulat grayak.,ulat,Pest,daun
Daun mengalami bercak oval akibat penyakit cercospora.,cercospora,Disease,daun
Daun berubah coklat dan kering karena wereng batang.,wereng,Pest,daun
Ujung daun mengering karena blas.,blas,Disease,daun
Malai tidak mengisi karena tungro.,tungro,Disease,malai
Helai daun terdampar lemas akibat keong mas.,keong mas,Pest,daun
Daun muncul bercak putih oleh ulat putih.,ulat,Pest,daun
Panicle patah langusung karena tikus.,tikus,Pest,
Daun mengalami chlorotic streak oleh virus tungro.,virus tungro,Disease,daun
Daun bergaris kuning akibat serangan penggerek batang.,penggerek,Pest,daun
Bercak air pada daun menjadi meluas akibat Xanthomonas oryzae.,,,daun
Daun menjadi pucat karena walang sangit.,walang sangit,Pest,daun
Pelepah mengering akibat cercospora.,cercospora,Disease,pelepah
Daun mengalami gejala yellow dwarf virus.,,,daun
Daun muncul bercak abu-abu karena blas.,blas,Disease,daun
Tunas tidak berkembang karena wereng hijau.,wereng,Pest,
Daun menjadi rapuh akibat serangan keong mas.,keong mas,Pest,daun
Batang berlubang oleh penggerek batang.,penggerek,Pest,batang
Akar mengalami kerusakan parah akibat tikus.,tikus,Pest,akar
Daun menjadi kusam karena tungro.,tungro,Disease,daun
Daun bergerigi oleh ulat grayak.,ulat,Pest,daun
Daun terlihat mati ujungnya akibat wereng coklat.,wereng,Pest,daun
Malai keluar tidak sempurna karena blas.,blas,Disease,malai
Daun berwarna mozaik karena virus tungro.,virus tungro,Disease,daun
Helai mengering oleh penggerek batang.,penggerek,Pest,batang
Daun berwarna coklat ke kehitaman karena hawar daun.,hawar daun,Disease,daun
Akar gagal menyerap air oleh kerusakan tikus.,tikus,Pest,akar
Daun mengalami blight oleh Xanthomonas.,,,daun
Pelepah menghitam karena cercospora.,cercospora,Disease,pelepah
Daun mengering secara bercak oleh blas.,blas,Disease,daun
Batang menghitam setelah serangan penggerek batang.,penggerek,Pest,batang
Daun berlubang kecil-kecil akibat kutu putih.,kutu putih,Pest,daun
Pangkal batang busuk oleh busuk akar.,busuk akar,Disease,batang
Malai menjadi kosong akibat serangan walang sangit.,walang sangit,Pest,malai
Daun mengalami chlorosis akibat tungro.,tungro,Disease,daun
Akar terpotong oleh keong mas.,keong mas,Pest,akar
